_id,Tarih,Kurum Kodu,Tam,Öğrenci,Öğretmen,Serbest Kart,Personel,Bilet,Altmış Yaş,Çocuk,Gönüllü
63,2015-06-11T00:00:00,Izulas,79.618,32.130,1.639,23.355,0,4,0,0,0
64,2015-06-11T00:00:00,İzban,102.398,41.040,2.599,11.081,0,13,0,0,0
65,2015-06-11T00:00:00,Metro,136.643,64.150,2.988,14.579,0,2,0,0,0
66,2015-06-12T00:00:00,Eshot,325.678,194.896,7.222,119.605,0,1,0,0,0
67,2015-06-12T00:00:00,Izdeniz,25.211,8.988,514,3.768,0,3,0,0,0
68,2015-06-12T00:00:00,Izdeniz-Araba,1.678,0,0,0,0,0,0,0,0
69,2015-06-12T00:00:00,Izulas,87.418,51.561,1.805,33.509,0,0,0,0,0
70,2015-06-12T00:00:00,İzban,113.837,61.289,3.054,17.098,0,23,0,0,0
71,2015-06-12T00:00:00,Metro,144.316,85.862,3.118,21.217,0,77,0,0,0
72,2015-06-13T00:00:00,Eshot,273.136,111.713,3.362,93.121,0,0,0,0,0
73,2015-06-13T00:00:00,Izdeniz,22.583,6.720,479,2.912,0,0,0,0,0
74,2015-06-13T00:00:00,Izdeniz-Araba,1.705,0,0,0,0,0,0,0,0
75,2015-06-13T00:00:00,Izulas,75.841,30.369,780,26.745,0,0,0,0,0
76,2015-06-13T00:00:00,İzban,126.049,48.728,2.163,18.878,0,0,0,0,0
77,2015-06-13T00:00:00,Metro,124.039,52.790,2.066,17.059,0,0,0,0,0
78,2015-06-14T00:00:00,Eshot,196.240,88.050,3.017,73.635,0,83,0,0,0
79,2015-06-14T00:00:00,Izdeniz,18.548,5.296,258,1.816,0,1,0,0,0
80,2015-06-14T00:00:00,Izdeniz-Araba,1.520,0,0,0,0,0,0,0,0
81,2015-06-14T00:00:00,Izulas,54.102,24.298,723,22.124,0,1,0,0,0
82,2015-06-14T00:00:00,İzban,87.782,35.241,1.505,12.588,0,0,0,0,0
83,2015-06-14T00:00:00,Metro,86.105,41.441,2.075,11.794,0,0,0,0,0
84,2015-06-15T00:00:00,Eshot,334.156,144.686,8.278,126.323,0,4,0,0,0
85,2015-06-15T00:00:00,Izdeniz,26.434,7.041,475,3.962,0,0,0,0,0
86,2015-06-15T00:00:00,Izdeniz-Araba,1.401,0,0,0,0,0,0,0,0
87,2015-06-15T00:00:00,Izulas,88.862,37.099,1.986,36.741,0,4,0,0,0
88,2015-06-15T00:00:00,İzban,131.094,52.883,3.400,23.136,0,5,0,0,0
89,2015-06-15T00:00:00,Metro,147.549,68.962,3.484,24.379,0,5,0,0,0
90,2015-06-16T00:00:00,Eshot,358.157,160.134,8.619,130.495,0,31,0,0,0
91,2015-06-16T00:00:00,Izdeniz,25.956,7.115,476,4.012,0,2,0,0,0
92,2015-06-16T00:00:00,Izdeniz-Araba,1.273,0,0,0,0,0,0,0,0
93,2015-06-16T00:00:00,Izulas,84.963,37.391,1.950,35.899,0,0,0,0,0
94,2015-06-16T00:00:00,İzban,117.064,49.641,3.276,19.972,0,0,0,0,0
95,2015-06-16T00:00:00,Metro,144.780,67.887,3.660,24.629,0,0,0,0,0
96,2015-06-17T00:00:00,Eshot,392.490,178.412,9.483,134.859,0,29,0,0,0
97,2015-06-17T00:00:00,Izdeniz,27.916,8.165,594,4.141,0,4,0,0,0
98,2015-06-17T00:00:00,Izdeniz-Araba,1.431,0,0,0,0,0,0,0,0
99,2015-06-17T00:00:00,Izulas,92.081,40.829,2.114,36.651,0,0,0,0,0
100,2015-06-17T00:00:00,İzban,120.464,51.650,3.148,19.878,0,0,0,0,0
101,2015-06-17T00:00:00,Metro,150.885,72.458,3.977,25.244,0,0,0,0,0
102,2015-06-18T00:00:00,Eshot,299.268,130.414,8.160,110.377,0,43,0,0,0
103,2015-06-18T00:00:00,Izdeniz,21.360,5.366,510,3.426,0,5,0,0,0
104,2015-06-18T00:00:00,Izdeniz-Araba,1.327,0,0,0,0,0,0,0,0
105,2015-06-18T00:00:00,Izulas,75.439,32.030,1.969,30.924,0,0,0,0,0
106,2015-06-18T00:00:00,İzban,109.510,43.856,3.345,17.947,0,1,0,0,0
107,2015-06-18T00:00:00,Metro,130.660,55.240,3.527,22.763,0,0,0,0,0
108,2015-06-19T00:00:00,Eshot,298.971,127.400,7.772,111.554,0,67,0,0,0
109,2015-06-19T00:00:00,Izdeniz,19.404,4.978,341,2.856,0,7,0,0,0
110,2015-06-19T00:00:00,Izdeniz-Araba,1.373,0,0,0,0,0,0,0,0
111,2015-06-19T00:00:00,Izulas,76.521,31.780,1.842,31.891,0,1,0,0,0
112,2015-06-19T00:00:00,İzban,102.795,41.226,2.992,16.682,0,27,0,0,0
113,2015-06-19T00:00:00,Metro,127.464,54.947,3.190,20.941,0,32,0,0,0
114,2015-06-20T00:00:00,Eshot,285.996,118.282,4.040,94.372,0,732,0,0,0
115,2015-06-20T00:00:00,Izdeniz,22.904,6.475,612,2.953,0,1.869,0,0,0
116,2015-06-20T00:00:00,Izdeniz-Araba,1.294,0,0,0,0,0,0,0,0
117,2015-06-20T00:00:00,Izulas,68.064,28.058,673,25.410,0,102,0,0,0
118,2015-06-20T00:00:00,İzban,105.726,40.896,1.737,15.095,0,2.221,0,0,0
119,2015-06-20T00:00:00,Metro,120.400,49.786,1.986,16.954,0,3.104,0,0,0
120,2015-06-21T00:00:00,Eshot,194.620,85.220,2.878,69.688,0,923,0,0,0
121,2015-06-21T00:00:00,Izdeniz,14.700,4.323,217,1.475,0,1.820,0,0,0
122,2015-06-21T00:00:00,Izdeniz-Araba,1.237,0,0,0,0,0,0,0,0
123,2015-06-21T00:00:00,Izulas,50.753,23.257,637,20.451,0,120,0,0,0
124,2015-06-21T00:00:00,İzban,79.408,30.933,1.342,10.843,0,1.764,0,0,0
125,2015-06-21T00:00:00,Metro,80.869,36.996,1.727,10.913,0,2.616,0,0,0
126,2015-06-22T00:00:00,Eshot,348.154,139.620,8.681,128.294,0,1.108,0,0,0
127,2015-06-22T00:00:00,Izdeniz,24.984,6.254,514,3.779,0,1.194,0,0,0
128,2015-06-22T00:00:00,Izdeniz-Araba,1.243,0,0,0,0,0,0,0,0
129,2015-06-22T00:00:00,Izulas,90.970,37.343,2.188,37.452,0,184,0,0,0
130,2015-06-22T00:00:00,İzban,122.995,48.159,3.526,20.435,0,2.183,0,0,0
131,2015-06-22T00:00:00,Metro,147.127,65.452,3.720,24.520,0,3.604,0,0,0
132,2015-06-23T00:00:00,Eshot,340.775,136.330,9.006,121.836,0,1.296,0,0,0
133,2015-06-23T00:00:00,Izdeniz,25.063,6.350,535,3.859,0,1.113,0,0,0
134,2015-06-23T00:00:00,Izdeniz-Araba,1.278,0,0,0,0,0,0,0,0
135,2015-06-23T00:00:00,Izulas,86.545,35.898,2.098,34.766,0,202,0,0,0
136,2015-06-23T00:00:00,İzban,118.586,45.379,3.410,19.725,0,1.833,0,0,0
137,2015-06-23T00:00:00,Metro,159.081,69.739,4.036,25.725,0,3.275,0,0,0
138,2015-06-24T00:00:00,Eshot,349.093,136.823,8.855,126.409,0,1.215,0,0,0
139,2015-06-24T00:00:00,Izdeniz,25.790,6.436,575,3.706,0,1.235,0,0,0
140,2015-06-24T00:00:00,Izdeniz-Araba,1.412,0,0,0,0,0,0,0,0
141,2015-06-24T00:00:00,Izulas,86.031,35.018,2.081,34.380,0,176,0,0,0
142,2015-06-24T00:00:00,İzban,118.288,44.348,3.348,19.484,0,2.213,0,0,0
143,2015-06-24T00:00:00,Metro,145.732,62.271,3.830,24.126,0,3.083,0,0,0
144,2015-06-25T00:00:00,Eshot,354.633,140.777,9.150,125.280,0,1.142,0,0,0
145,2015-06-25T00:00:00,Izdeniz,26.467,6.683,684,3.918,0,1.344,0,0,0
146,2015-06-25T00:00:00,Izdeniz-Araba,1.287,0,0,0,0,0,0,0,0
147,2015-06-25T00:00:00,Izulas,88.606,36.628,2.039,34.731,0,178,0,0,0
148,2015-06-25T00:00:00,İzban,122.209,46.207,3.509,20.546,0,2.415,0,0,0
149,2015-06-25T00:00:00,Metro,151.418,64.283,4.019,25.611,0,3.030,0,0,0
150,2015-06-26T00:00:00,Eshot,337.250,133.737,8.389,119.831,0,1.106,0,0,0
151,2015-06-26T00:00:00,Izdeniz,24.827,6.372,513,3.598,0,1.362,0,0,0
152,2015-06-26T00:00:00,Izdeniz-Araba,1.466,0,0,0,0,0,0,0,0
153,2015-06-26T00:00:00,Izulas,86.488,35.067,2.012,34.426,0,162,0,0,0
154,2015-06-26T00:00:00,İzban,118.429,44.843,3.320,19.236,0,2.231,0,0,0
155,2015-06-26T00:00:00,Metro,146.578,62.806,3.648,23.671,0,2.946,0,0,0
156,2015-06-27T00:00:00,Eshot,248.943,94.508,2.992,78.937,0,1.048,0,0,0
157,2015-06-27T00:00:00,Izdeniz,13.163,3.195,230,1.796,0,1.225,0,0,0
158,2015-06-27T00:00:00,Izdeniz-Araba,928,0,0,0,0,0,0,0,0
159,2015-06-27T00:00:00,Izulas,63.904,24.950,561,22.442,0,172,0,0,0
160,2015-06-27T00:00:00,İzban,94.684,33.077,1.375,13.576,0,2.129,0,0,0
161,2015-06-27T00:00:00,Metro,109.253,40.204,1.543,15.562,0,2.954,0,0,0
162,2015-06-28T00:00:00,Eshot,187.516,78.657,2.455,73.162,0,890,0,0,0
163,2015-06-28T00:00:00,Izdeniz,17.380,4.811,255,1.690,0,1.834,0,0,0
164,2015-06-28T00:00:00,Izdeniz-Araba,1.122,0,0,0,0,0,0,0,0
165,2015-06-28T00:00:00,Izulas,46.122,19.911,472,20.202,0,105,0,0,0
166,2015-06-28T00:00:00,İzban,81.205,29.984,1.177,11.842,0,2.170,0,0,0
167,2015-06-28T00:00:00,Metro,72.775,30.384,1.155,10.791,0,2.373,0,0,0
168,2015-06-29T00:00:00,Eshot,316.998,128.077,4.583,109.344,0,1.271,0,0,0
169,2015-06-29T00:00:00,Izdeniz,25.020,6.618,467,3.647,0,1.230,0,0,0
170,2015-06-29T00:00:00,Izdeniz-Araba,1.025,0,0,0,0,0,0,0,0
171,2015-06-29T00:00:00,Izulas,79.066,32.742,928,30.734,0,201,0,0,0
172,2015-06-29T00:00:00,İzban,111.328,43.292,1.844,18.111,0,2.322,0,0,0
173,2015-06-29T00:00:00,Metro,149.695,60.044,2.408,24.922,0,3.007,0,0,0
174,2015-06-30T00:00:00,Eshot,350.509,137.620,5.053,116.001,0,1.386,0,0,0
175,2015-06-30T00:00:00,Izdeniz,26.426,6.736,451,3.786,0,1.285,0,0,0
176,2015-06-30T00:00:00,Izdeniz-Araba,1.289,0,0,0,0,0,0,0,0
177,2015-06-30T00:00:00,Izulas,80.801,31.807,911,29.769,0,138,0,0,0
178,2015-06-30T00:00:00,İzban,121.459,45.626,2.042,19.697,0,2.452,0,0,0
179,2015-06-30T00:00:00,Metro,151.599,58.877,2.403,24.034,0,2.418,0,0,0
180,2015-07-01T00:00:00,Eshot,352.780,139.384,4.874,121.026,0,1.302,0,0,0
181,2015-07-01T00:00:00,Izdeniz,27.157,7.001,456,3.904,0,1.415,0,0,0
182,2015-07-01T00:00:00,Izdeniz-Araba,1.343,0,0,0,0,0,0,0,0
183,2015-07-01T00:00:00,Izulas,76.526,30.705,912,29.628,0,150,0,0,0
184,2015-07-01T00:00:00,İzban,122.923,46.519,2.078,19.656,0,2.426,0,0,0
185,2015-07-01T00:00:00,Metro,149.641,58.845,2.386,23.991,0,2.624,0,0,0
186,2015-07-02T00:00:00,Eshot,344.992,136.331,4.878,117.035,0,1.239,0,0,0
187,2015-07-02T00:00:00,Izdeniz,26.074,6.475,460,4.075,0,1.377,0,0,0
188,2015-07-02T00:00:00,Izdeniz-Araba,1.230,0,0,0,0,0,0,0,0
189,2015-07-02T00:00:00,Izulas,74.138,30.338,848,27.642,0,138,0,0,0
190,2015-07-02T00:00:00,İzban,120.610,44.153,1.945,19.621,0,2.151,0,0,0
191,2015-07-02T00:00:00,Metro,152.836,58.935,2.570,26.759,0,2.666,0,0,0
192,2015-07-03T00:00:00,Eshot,354.178,139.326,4.448,119.875,0,1.265,0,0,0
193,2015-07-03T00:00:00,Izdeniz,25.399,6.514,380,3.491,0,1.415,0,0,0
194,2015-07-03T00:00:00,Izdeniz-Araba,1.364,0,0,0,0,0,0,0,0
195,2015-07-03T00:00:00,Izulas,75.020,30.019,761,28.392,0,127,0,0,0
196,2015-07-03T00:00:00,İzban,121.300,44.235,1.805,19.160,0,2.320,0,0,0
197,2015-07-03T00:00:00,Metro,147.092,56.754,2.253,23.747,0,2.467,0,0,0
198,2015-07-04T00:00:00,Eshot,378.968,145.672,5.290,122.916,0,1.392,0,0,0
199,2015-07-04T00:00:00,Izdeniz,21.907,5.586,314,2.605,0,1.869,0,0,0
200,2015-07-04T00:00:00,Izdeniz-Araba,1.279,0,0,0,0,0,0,0,0
201,2015-07-04T00:00:00,Izulas,70.038,26.839,721,23.435,0,159,0,0,0
202,2015-07-04T00:00:00,İzban,112.334,38.799,1.619,15.707,0,2.325,0,0,0
203,2015-07-04T00:00:00,Metro,138.098,50.000,3.117,19.572,0,2.651,0,0,0
204,2015-07-05T00:00:00,Eshot,211.638,84.628,1.957,73.563,0,1.206,0,0,0
205,2015-07-05T00:00:00,Izdeniz,17.204,4.369,188,1.707,0,1.830,0,0,0
206,2015-07-05T00:00:00,Izdeniz-Araba,1.136,0,0,0,0,0,0,0,0
207,2015-07-05T00:00:00,Izulas,43.100,17.573,283,17.116,0,142,0,0,0
